NO,JUDUL BERITA,ISI BERITA,KATEGORI,TANGGAL UPLOAD,TAUTAN,clean_text,Cluster
33,Polisi Bongkar Lokasi Penyuntikan Tabung Elpiji Nonsubsidi dari 3 Kg,"Bareskrim Polri berhasil membongkar lokasi praktik penyuntikan isi tabung Elpiji 3 kg (bersubsidi) ke tabung Elpiji nonsubsidi. Modus kejahatan ini merugikan negara dan masyarakat karena mengganggu distribusi subsidi. Elpiji hasil suntikan dijual dengan harga tinggi ke restoran dan peternakan ayam. Beberapa pelaku telah ditangkap, dan polisi menyita ribuan tabung sebagai barang bukti.",Hukum & Ekonomi,2025-11-01 00:00:00,Bareskrim Bongkar Lokasi Penyuntikan Tabung Elpiji Nonsubsidi dari 1.697 Tabung Gas 3 Kg,bareskrim polri hasil bongkar lokasi praktik sunti isi tabung elpiji subsidi tabung elpiji nonsubsidi modus jahat rugi negara masyarakat ganggu distribusi subsidi elpiji hasil sunti jual harga tinggi restoran terna ayam beberapa laku tangkap polisi sita ribu tabung barang bukti,4
34,Ketua Fraksi PAN Hormati Putusan MK soal Keterwakilan Perempuan di DPR,Ketua Fraksi PAN DPR RI menyatakan penghormatan terhadap Putusan Mahkamah Konstitusi (MK) yang mewajibkan adanya keterwakilan perempuan minimal 30 persen di Alat Kelengkapan Dewan (AKD). Putusan ini dinilai sebagai langkah positif dalam mendorong peran perempuan di lembaga legislatif. PAN berkomitmen untuk menyesuaikan komposisi anggotanya di AKD sesuai dengan mandat MK. Peningkatan peran perempuan diharapkan dapat memperkaya kebijakan publik.,Politik & Hukum,2025-11-02 00:00:00,Ketua Fraksi PAN Sambut Putusan MK soal Keterwakilan Perempuan di DPR,ketua fraksi pan dpr nyata hormat putus mahkamah konstitusi wajib ada wakil perempuan minimal persen alat lengkap dewan akd putus nilai langkah positif dorong peran perempuan lembaga legislatif pan komitmen sesuai komposisi anggota akd sesuai mandat tingkat peran perempuan harap kaya bijak publik,6
35,Kemensos Berhentikan 49 Staf Perbaiki Layanan Transparansi Bansos,Kementerian Sosial (Kemensos) telah memberhentikan 49 stafnya sebagai upaya perbaikan internal dan peningkatan transparansi layanan bantuan sosial (bansos). Langkah ini diambil untuk memastikan penyaluran bansos tepat sasaran dan bebas dari penyalahgunaan. Mensos menekankan komitmen untuk memberantas praktik korupsi dan meningkatkan akuntabilitas program sosial. Transparansi data penerima bansos menjadi fokus utama perbaikan.,Sosial & Pemerintahan,20 Oktober 2025,Kemensos berhentikan 49 staf buat perbaiki layanan transparansi bansos,menteri sosial kemensos henti staf upaya baik internal tingkat transparansi layan bantu sosial bansos langkah ambil pasti salur bansos tepat sasar bebas penyalahgunaan mensos tekan komitmen berantas praktik korupsi tingkat akuntabilitas program sosial transparansi data terima bansos jadi fokus utama baik,8
36,Belanja APBD yang Selalu Menumpuk di Akhir Tahun Akan Ditertibkan,Pemerintah pusat menyoroti kebiasaan buruk pemerintah daerah (Pemda) yang sering menumpuk realisasi belanja APBD di akhir tahun anggaran. Penumpukan belanja ini dinilai tidak efektif dan menghambat pertumbuhan ekonomi di daerah. Kementerian Dalam Negeri (Kemendagri) akan memberikan sanksi dan insentif untuk mendorong penyerapan anggaran yang lebih merata sepanjang tahun. Perbaikan manajemen anggaran daerah menjadi kunci percepatan pembangunan.,Ekonomi & Pemerintahan Daerah,2025-11-01 00:00:00,Belanja APBD yang Selalu Menumpuk di Akhir Tahun,perintah pusat sorot biasa buruk perintah daerah pemda sering tumpuk realisasi belanja apbd akhir tahun anggar tumpu belanja nilai efektif hambat tumbuh ekonomi daerah menteri negeri kemendagri beri sanksi insentif dorong serap anggar lebih rata panjang tahun baik manajemen anggar daerah jadi kunci cepat bangun,9
37,Pemerintah Buka 80.000 Kuota Magang Nasional Batch 2,"Pemerintah membuka 80.000 kuota Magang Nasional Batch 2 untuk mahasiswa dan lulusan perguruan tinggi. Program ini bertujuan untuk meningkatkan kompetensi dan daya saing tenaga kerja muda Indonesia. Magang ini melibatkan berbagai kementerian, BUMN, dan perusahaan swasta. Pendaftaran telah dibuka, dan program ini diharapkan dapat menjembatani kesenjangan antara dunia pendidikan dan industri.",Pendidikan & Karier,2025-11-02 00:00:00,"Pemerintah Buka 80.000 Kuota Magang Nasional Batch 2, Ini Jadwalnya",perintah buka kuota magang nasional batch mahasiswa lulus guru tinggi program tuju tingkat kompetensi daya saing tenaga kerja muda indonesia magang libat bagai menteri bumn usaha swasta daftar buka program harap jembatan senjang dunia didik industri,7
38,Polisi Temukan 2.500 Mangrove Ditanam Serentak di Lima Provinsi,Kepolisian Republik Indonesia (Polri) melaksanakan penanaman 2.500 bibit mangrove secara serentak di lima provinsi di Indonesia. Program ini merupakan bagian dari upaya Polri dalam menjaga kelestarian lingkungan dan mitigasi bencana pesisir. Penanaman mangrove sangat penting untuk mencegah abrasi dan kerusakan ekosistem laut. Aksi ini menunjukkan peran aktif Polri dalam mendukung program penghijauan nasional.,Lingkungan & Keamanan,2025-11-02 00:00:00,2.500 Mangrove Ditanam Serentak di Lima Provinsi untuk Jaga Bumi,polisi republik indonesia polri laksana tanam bibit mangrove serentak lima provinsi indonesia program rupa bagi upaya polri jaga lestari lingkung mitigasi bencana pesisir tanam mangrove sangat penting cegah abrasi rusa ekosistem laut aksi tunjuk peran aktif polri dukung program hijau nasional,2
39,Wamensos Tegaskan Setiap Pejuang Bangsa Berhak Dapat Gelar Pahlawan Nasional,Wakil Menteri Sosial (Wamensos) menegaskan bahwa setiap pejuang yang berkontribusi besar bagi kemerdekaan dan keutuhan bangsa berhak mendapatkan gelar Pahlawan Nasional. Pernyataan ini disampaikan di tengah diskusi publik tentang kriteria dan usulan pahlawan baru. Wamensos menekankan proses penetapan gelar dilakukan secara transparan dan memenuhi syarat formal yang ketat. Penghargaan ini menjadi bentuk apresiasi negara terhadap jasa para pahlawan.,Sosial & Pemerintahan,31 Oktober 2025,Wamensos Tegaskan Setiap Pejuang Bangsa Berhak Dapat Gelar Pahlawan Nasional,wakil menteri sosial wamensos tegas juang kontribusi besar merdeka utuh bangsa hak dapat gelar pahlawan nasional nyata sampai tengah diskusi publik kriteria usul pahlawan baru wamensos tekan proses tetap gelar laku transparan penuh syarat formal ketat harga jadi bentuk apresiasi negara jasa pahlawan,5
40,"Jamkrindo Catat Laba Sebelum Pajak Rp 1,18 Triliun Kuartal III","Perusahaan penjaminan BUMN, PT Jamkrindo, berhasil membukukan laba sebelum pajak sebesar Rp 1,18 triliun hingga kuartal III tahun 2025. Kinerja keuangan yang solid ini didukung oleh peningkatan volume penjaminan kredit UMKM. Jamkrindo terus berperan aktif dalam mendukung program KUR pemerintah. Capaian ini menunjukkan pertumbuhan sektor penjaminan yang sehat di Indonesia.",Ekonomi & BUMN,31 Oktober 2025,"Jamkrindo bukukan laba sebelum pajak Rp1,18 triliun hingga kuartal III",usaha jamin bumn jamkrindo hasil buku laba pajak besar triliun hingga kuartal iii tahun kerja uang solid dukung tingkat volume jamin kredit umkm jamkrindo terus peran aktif dukung program kur perintah capai tunjuk tumbuh sektor jamin sehat indonesia,2
41,Presiden PKS Ingatkan Kader yang Jadi Pejabat Jaga Nama Baik Partai,Presiden Partai Keadilan Sejahtera (PKS) memberikan pengarahan khusus kepada kadernya yang memegang jabatan publik untuk senantiasa menjaga integritas. Ia menekankan bahwa kader yang menjadi pejabat harus menjadi teladan dan menjauhi perilaku koruptif. Imbauan ini bertujuan untuk menjaga nama baik PKS dan memastikan kader fokus bekerja untuk kepentingan rakyat. PKS berkomitmen pada pendidikan politik yang beretika.,Politik & Etika,31 Oktober 2025,Presiden PKS ingatkan kader yang jadi pejabat jaga nama baik partai,presiden partai adil sejahtera pks beri arah khusus kader pegang jabat publik senantiasa jaga integritas tekan kader jadi jabat jadi teladan jauh perilaku koruptif imbau tuju jaga nama baik pks pasti kader fokus kerja penting rakyat pks komitmen didik politik etika,1
42,Kementerian ATR/BPN Dorong Pemanfaatan Tanah Redistribusi untuk Produktif,Kementerian Agraria dan Tata Ruang/Badan Pertanahan Nasional (ATR/BPN) mendorong pemanfaatan tanah hasil redistribusi untuk kegiatan yang produktif dan bernilai ekonomi. Hal ini untuk memastikan program reforma agraria benar-benar meningkatkan kesejahteraan masyarakat. Kementerian juga memberikan pendampingan dan sertifikasi hak atas tanah kepada penerima redistribusi. Fokus utama adalah mengubah tanah sengketa menjadi aset produktif.,Pemerintahan & Agraria,31 Oktober 2025,Kementerian ATR/BPN Dorong Pemanfaatan Tanah Redistribusi untuk Produktif,menteri agraria tata ruang badan tanah nasional atr bpn dorong manfaat tanah hasil redistribusi giat produktif nila ekonomi pasti program reforma agraria benar benar tingkat sejahtera masyarakat menteri beri damping sertifikasi hak atas tanah terima redistribusi fokus utama ubah tanah sengketa jadi aset produktif,6
43,"Truk Tangki BBM Terguling Picu Kebakaran di Cianjur, Jalur Ditutup","Sebuah truk tangki pengangkut Bahan Bakar Minyak (BBM) terguling dan memicu kebakaran hebat di jalur Perintis Kemerdekaan, Cianjur. Insiden ini menyebabkan kerugian material dan membuat jalur tersebut ditutup total untuk sementara. Polisi masih mendalami penyebab pasti kecelakaan, dugaan sementara berasal dari rem blong. Pertamina Patra Niaga memastikan pasokan BBM di wilayah sekitar tetap aman.",Bencana & Transportasi,31 Oktober 2025,"Dampak kebakaran, Polres Cianjur tutup jalur Perintis Kemerdekaan",buah truk tangki angkut bahan bakar minyak bbm guling picu bakar hebat jalur rintis merdeka cianjur insiden sebab rugi material buat jalur sebut tutup total polisi dalam sebab celaka duga asal rem blong pertamina patra niaga pasti pasok bbm wilayah tetap aman,8
44,Ketua Umum Golkar Targetkan Lonjakan Kursi di Pemilu 2029,"Ketua Umum Partai Golkar, Bahlil Lahadalia, menegaskan target partainya untuk meraih lonjakan signifikan dalam perolehan kursi pada Pemilu 2029. Target ini diumumkan dalam acara konsolidasi internal partai yang dihadiri oleh seluruh kader. Bahlil optimis target tersebut dapat dicapai melalui kerja keras dan penguatan struktur hingga ke akar rumput. Golkar akan mulai menyiapkan strategi politiknya dari sekarang.",Politik,31 Oktober 2025,Bahlil targetkan lonjakan kursi Golkar pada Pemilu 2029,ketua umum partai golkar bahlil lahadalia tegas target partai raih lonjak signifikan oleh kursi milu target umum acara konsolidasi internal partai hadir seluruh kader bahlil optimis target sebut capai lalu kerja keras kuat struktur hingga akar rumput golkar mulai siap strategi politik sekarang,1
45,Pemprov Kepri Sambut Puluhan Yachter Peserta Sail to Indonesia 2025,"Pemerintah Provinsi Kepulauan Riau (Kepri) menyambut puluhan yachter asing yang berpartisipasi dalam ajang internasional ""Sail to Indonesia 2025"". Kegiatan ini diharapkan dapat mempromosikan pariwisata bahari Kepri dan meningkatkan kunjungan wisatawan mancanegara. Pemprov Kepri telah menyiapkan serangkaian acara penyambutan budaya untuk para peserta. Event ini menjadi momentum penting untuk pemulihan sektor pariwisata.",Pariwisata & Internasional,31 Oktober 2025,"Pemprov Kepri sambut puluhan ""yachter"" peserta Sail to Indonesia 2025",perintah provinsi pulau riau kepri sambut puluh yachter asing partisipasi ajang internasional sail indonesia giat harap promosi pariwisata bahari kepri tingkat kunjung wisatawan mancanegara pemprov kepri siap rangkai acara sambut budaya serta event jadi momentum penting pulih sektor pariwisata,7
46,Menko Cak Imin Minta Anggaran Perlinsos Ditambah Jadi Rp 1.000 Triliun,"Menteri Koordinator Bidang Pembangunan Manusia dan Kebudayaan (Menko PMK), Muhaimin Iskandar (Cak Imin), mengusulkan peningkatan anggaran Perlindungan Sosial (Perlinsos) menjadi Rp 1.000 triliun. Usulan ini bertujuan untuk memperluas cakupan dan manfaat program perlindungan sosial bagi masyarakat miskin. Peningkatan anggaran ini dianggap krusial untuk menekan angka kemiskinan ekstrem. Usulan ini akan dibahas lebih lanjut dalam rapat kabinet.",Sosial & Anggaran,29 Oktober 2025,Menko Cak Imin Minta Anggaran Perlinsos Ditambah Jadi Rp1.000 Triliun,menteri koordinator bidang bangun manusia budaya menko pmk muhaimin iskandar cak imin usul tingkat anggar lindung sosial perlinsos jadi triliun usul tuju luas cakup manfaat program lindung sosial masyarakat miskin tingkat anggar anggap krusial tekan angka miskin ekstrem usul bahas lebih lanjut rapat kabinet,5
47,"Presiden Prabowo Musnahkan Barang Bukti 214,84 Ton Narkoba","Presiden Prabowo Subianto memimpin pemusnahan barang bukti narkoba sebanyak 214,84 ton, yang merupakan hasil pengungkapan selama satu tahun periode pemerintahan. Pemusnahan ini menunjukkan komitmen serius pemerintah dalam perang melawan narkoba yang menjadi ancaman besar bagi bangsa. Presiden menegaskan bahwa narkoba harus diperangi secara menyeluruh dari hulu ke hilir. Upaya ini diapresiasi oleh berbagai elemen masyarakat.",Hukum & Keamanan,29 Oktober 2025,"Presiden Prabowo Musnahkan Barang Bukti 214,84 Ton Narkoba Selama Setahun Periode Pemerintahan",presiden prabowo subianto pimpin musnah barang bukti narkoba banyak ton rupa hasil ungkap lama satu tahun periode perintah musnah tunjuk komitmen serius perintah perang lawan narkoba jadi ancam besar bangsa presiden tegas narkoba rang seluruh hulu hilir upaya apresiasi bagai elemen masyarakat,1
48,Polisi Identifikasi Pria Gantung Diri di Flyover Pasupati Bandung,"Pihak kepolisian telah berhasil mengidentifikasi identitas pria yang ditemukan tewas gantung diri di Jembatan Layang (Flyover) Pasupati, Bandung. Penemuan jenazah ini sempat menghebohkan warga dan pengguna jalan. Polisi masih mendalami motif di balik aksi bunuh diri tersebut melalui pemeriksaan saksi dan keluarga korban. Pihak kepolisian mengimbau masyarakat untuk menjaga kesehatan mental.",Kriminal & Sosial,2025-11-01 00:00:00,Polisi identifikasi pria gantung diri di flyover Pasupati Bandung,pihak polisi hasil identifikasi identitas pria temu tewas gantung diri jembatan layang flyover pasupati bandung temu jenazah sempat heboh warga guna jalan polisi dalam motif balik aksi bunuh diri sebut lalu periksa saksi keluarga korban pihak polisi imbau masyarakat jaga sehat mental,4
49,Wapres Ajak GP Ansor Bersinergi Kawal Pembangunan Nasional,Wakil Presiden mengajak Gerakan Pemuda Ansor (GP Ansor) untuk bersinergi dan ikut mengawal program pembangunan nasional. Wapres menekankan peran penting pemuda dalam menjaga persatuan bangsa dan mendukung setiap kebijakan pemerintah. GP Ansor diharapkan menjadi mitra strategis pemerintah dalam menyukseskan visi Indonesia Maju. Sinergi ini diperlukan untuk mencapai tujuan pembangunan.,Politik & Pemuda,31 Oktober 2025,Wapres ajak GP Ansor bersinergi kawal pembangunan nasional,wakil presiden ajak gera pemuda ansor ansor sinergi ikut awal program bangun nasional wapres tekan peran penting pemuda jaga satu bangsa dukung bijak perintah ansor harap jadi mitra strategis perintah sukses visi indonesia maju sinergi perlu capai tuju bangun,9
50,Menkeu Sebut Pakaian Bekas Impor Rugikan UMKM dan Industri Tekstil,Menteri Keuangan (Menkeu) menegaskan bahwa praktik impor pakaian bekas secara ilegal sangat merugikan sektor UMKM dan industri tekstil dalam negeri. Peredaran pakaian bekas impor mengganggu pasar produk lokal dan menurunkan daya saing industri. Pemerintah akan meningkatkan pengawasan di pelabuhan dan perbatasan untuk memberantas perdagangan ilegal ini. Kebijakan ini bertujuan melindungi produk domestik.,Ekonomi & Perdagangan,2025-11-02 00:00:00,Menkeu Purbaya Sebut Pakaian Bekas Impor Rugikan UMKM dan Industri Tekstil,menteri uang menkeu tegas praktik impor pakai bekas ilegal sangat rugi sektor umkm industri tekstil negeri edar pakai bekas impor ganggu pasar produk lokal turun daya saing industri perintah tingkat awas labuh batas berantas dagang ilegal bijak tuju lindung produk domestik,9
51,"Presiden Prabowo: Kunci Kemakmuran Adalah Persatuan, Tidak Boleh Ada Mafia","Presiden Prabowo Subianto kembali menegaskan bahwa kunci utama untuk mencapai kemakmuran nasional adalah persatuan seluruh elemen bangsa. Ia juga secara tegas menekankan bahwa tidak boleh ada praktik ""mafia"" atau korupsi dalam pemerintahan. Integritas dan efisiensi birokrasi menjadi fokus utama untuk memastikan pembangunan berjalan lancar. Pesan ini disampaikan dalam rapat kabinet.",Politik & Pemerintahan,29 Oktober 2025,"Presiden Prabowo: Tidak Boleh Ada Mafia dalam Pemerintahan, Kunci Kemakmuran adalah Persatuan",presiden prabowo subianto tegas kunci utama capai makmur nasional satu seluruh elemen bangsa tegas tekan praktik mafia korupsi perintah integritas efisiensi birokrasi jadi fokus utama pasti bangun jalan lancar pesan sampai rapat kabinet,1
52,Bareskrim Polri Lakukan Tindakan Hukum Penambangan Ilegal Merapi,Bareskrim Polri mengambil tindakan hukum terhadap praktik penambangan pasir dan batu (galian C) ilegal di kawasan Gunung Merapi. Penambangan ilegal ini dikhawatirkan merusak lingkungan dan memperburuk risiko bencana. Polisi telah mengidentifikasi dan menangkap beberapa pelaku serta menyita alat berat. Langkah tegas ini merupakan komitmen Polri untuk menjaga kelestarian lingkungan.,Hukum & Lingkungan,2025-11-01 00:00:00,Bareskrim Polri lakukan tindakan hukum penambangan ilegal Merapi,bareskrim polri ambil tindak hukum praktik tambang pasir batu gali ilegal kawasan gunung rapi tambang ilegal khawatir rusak lingkung buruk risiko bencana polisi identifikasi tangkap beberapa laku sita alat berat langkah tegas rupa komitmen polri jaga lestari lingkung,4
53,Polisi Tangkap Pelaku Pembacokan Briptu Abraham di Asmat,"Polres Asmat, Papua Selatan, berhasil menangkap pelaku pembacokan terhadap seorang anggota polisi bernama Briptu Abraham. Pelaku ditangkap setelah dilakukan pengejaran intensif di sekitar wilayah Asmat. Kejadian ini menimbulkan keresahan, dan polisi memastikan akan memproses hukum pelaku sesuai undang-undang yang berlaku. Korban saat ini masih menjalani perawatan medis.",Hukum & Kriminal,2025-11-02 00:00:00,Polres Asmat tangkap pelaku pembacokan Briptu Abraham,polres asmat papua selatan hasil tangkap laku baco orang anggota polisi nama briptu abraham laku tangkap laku kejar intensif wilayah asmat jadi timbul resah polisi pasti proses hukum laku sesuai undang undang laku korban jalan awat medis,4
54,Memenuhi Rasio Elektrifikasi di 3T dengan Pemanfaatan EBT,"Pemerintah terus berupaya memenuhi rasio elektrifikasi di wilayah 3T (Tertinggal, Terdepan, Terluar) dengan fokus pada pemanfaatan Energi Baru Terbarukan (EBT). Pemanfaatan EBT seperti tenaga surya dan micro-hydro dinilai lebih efektif menjangkau daerah terpencil. Kebijakan ini merupakan bagian dari komitmen Indonesia untuk transisi energi. Diharapkan, seluruh masyarakat dapat menikmati akses listrik yang merata.",Energi & Pembangunan,31 Oktober 2025,Memenuhi rasio elektrifikasi di 3T dengan pemanfaatan EBT,perintah terus upaya penuh rasio elektrifikasi wilayah tinggal depan luar fokus manfaat energi baru baru ebt manfaat ebt tenaga surya micro hydro nilai lebih efektif jangkau daerah pencil bijak rupa bagi komitmen indonesia transisi energi harap seluruh masyarakat nikmat akses listrik rata,3
55,Kemensos Optimistis Data Akurat Tekan Kemiskinan Nol Persen pada 2026,Kementerian Sosial menyatakan optimistis bahwa kemiskinan ekstrem di Indonesia dapat ditekan hingga nol persen pada tahun 2026. Optimisme ini didasarkan pada perbaikan data terpadu kesejahteraan sosial (DTKS) yang semakin akurat. Data yang akurat sangat penting untuk memastikan penyaluran bantuan sosial tepat sasaran. Kemensos terus berkoordinasi dengan pemerintah daerah untuk memverifikasi data.,Sosial & Pemerintahan,2025-11-02 00:00:00,Mensos optimistis data akurat tekan kemiskinan nol persen pada 2026,menteri sosial nyata optimistis miskin ekstrem indonesia tekan hingga nol persen tahun optimisme dasar baik data padu sejahtera sosial dtks makin akurat data akurat sangat penting pasti salur bantu sosial tepat sasar kemensos terus koordinasi perintah daerah verifikasi data,0
56,Hasil Tes DNA Dua Kerangka Manusia di Kwitang Keluar Pekan Depan,"Polisi masih menunggu hasil tes DNA dari dua kerangka manusia yang ditemukan di gedung kosong di Kwitang, Jakarta Pusat. Hasil tes ini diharapkan dapat mengungkap identitas korban secara pasti, yang diduga terkait dengan kasus orang hilang. Pihak kepolisian bekerja sama dengan tim forensik untuk mempercepat proses identifikasi. Kasus ini masih diselidiki intensif.",Hukum & Kriminal,2025-11-02 00:00:00,Hasil Tes DNA 2 Kerangka Manusia di Gedung Kwitang Keluar Pekan Depan,polisi tunggu hasil tes dna kerangka manusia temu gedung kosong kwitang jakarta pusat hasil tes harap ungkap identitas korban duga kait kasus orang hilang pihak polisi kerja sama tim forensik cepat proses identifikasi kasus selidik intensif,4
57,Mendagri Jelaskan Dasar Hukum Dukungan Pemda terhadap PSN,"Menteri Dalam Negeri (Mendagri) menjelaskan dasar hukum yang memperbolehkan pemerintah daerah (Pemda) memberikan dukungan terhadap Proyek Strategis Nasional (PSN). Dukungan Pemda sangat penting, terutama dalam hal pembebasan lahan dan perizinan. Mendagri memastikan landasan hukumnya jelas agar Pemda tidak ragu untuk berpartisipasi dalam PSN. Percepatan PSN menjadi kunci pertumbuhan ekonomi regional.",Politik & Pemerintahan,31 Oktober 2025,Mendagri jelaskan dasar hukum dukungan pemda terhadap PSN,menteri negeri mendagri jelas dasar hukum boleh perintah daerah pemda beri dukung proyek strategis nasional psn dukung pemda sangat penting utama bebas lahan izin mendagri pasti landas hukum jelas pemda ragu partisipasi psn cepat psn jadi kunci tumbuh ekonomi regional,9
58,"Presiden PKS: Prabowo Perhatikan Palestina, Kirim Pasukan Perdamaian","Presiden PKS mengapresiasi perhatian Presiden Prabowo Subianto terhadap isu Palestina, termasuk rencana pengiriman pasukan perdamaian dan pemberian beasiswa untuk mahasiswa Palestina. Pernyataan ini menunjukkan dukungan PKS terhadap langkah diplomasi kemanusiaan pemerintah. Indonesia konsisten menyuarakan dukungan terhadap kemerdekaan Palestina di forum internasional. Isu kemanusiaan menjadi prioritas dalam politik luar negeri.",Politik & Internasional,2025-11-01 00:00:00,"Presiden PKS: Prabowo Perhatikan Palestina, Kirim Pasukan Perdamaian hingga Beasiswa Mahasiswa",presiden pks apresiasi perhati presiden prabowo subianto isu palestina masuk rencana kirim pasu damai beri beasiswa mahasiswa palestina nyata tunjuk dukung pks langkah diplomasi manusia perintah indonesia konsisten suara dukung merdeka palestina forum internasional isu manusia jadi prioritas politik luar negeri,1
59,Harga Emas UBS-Galeri24 di Pegadaian Kompak Melonjak Awal Bulan Ini,"Harga emas batangan yang dijual oleh UBS dan Galeri24 di Pegadaian terpantau kompak melonjak pada awal bulan ini. Kenaikan harga emas dipengaruhi oleh sentimen pasar global, terutama ketidakpastian ekonomi dan geopolitik. Emas kembali menjadi instrumen investasi yang diminati. Masyarakat diimbau untuk memantau pergerakan harga emas secara berkala.",Ekonomi & Keuangan,31 Oktober 2025,Harga emas UBS-Galeri24 di Pegadaian awal bulan ini kompak melonjak,harga emas batang jual ubs galeri gadai pantau kompak lonjak awal bulan naik harga emas pengaruh sentimen pasar global utama ketidakpastian ekonomi geopolitik emas jadi instrumen investasi mati masyarakat imbau pantau gera harga emas kala,5
60,Kasus Korupsi Gula: 5 Bos Perusahaan Swasta Divonis 4 Tahun Penjara,Lima bos perusahaan swasta divonis hukuman 4 tahun penjara oleh majelis hakim dalam kasus korupsi tata kelola impor gula. Vonis ini menunjukkan keseriusan penegak hukum dalam memberantas korupsi di sektor komoditas pangan. Para terdakwa terbukti merugikan negara melalui praktik curang dalam proses impor gula. Putusan ini diharapkan memberikan efek jera bagi pelaku korupsi.,Hukum & Korupsi,30 Oktober 2025,5 Bos Perusahaan Swasta Divonis 4 Tahun Penjara di Kasus Korupsi Gula,lima bos usaha swasta vonis hukum tahun penjara majelis hakim kasus korupsi tata kelola impor gula vonis tunjuk serius tegak hukum berantas korupsi sektor komoditas pangan dakwa bukti rugi negara lalu praktik curang proses impor gula putus harap beri efek jera laku korupsi,8
61,Mendagri Ajak Pemda Dukung Peningkatan Kualitas ASN,Menteri Dalam Negeri (Mendagri) mengimbau seluruh pemerintah daerah (Pemda) untuk aktif mendukung program peningkatan kualitas dan kompetensi Aparatur Sipil Negara (ASN). Peningkatan kualitas SDM ASN dianggap krusial untuk mewujudkan pelayanan publik yang prima dan birokrasi yang efisien. Mendagri menekankan pentingnya pelatihan dan pengembangan karir yang berbasis merit sistem. Dukungan anggaran dan komitmen Pemda menjadi kunci utama keberhasilan program ini.,Politik & Pemerintahan,30 Oktober 2025,Mendagri ajak Pemda dukung peningkatan kualitas ASN,menteri negeri mendagri imbau seluruh perintah daerah pemda aktif dukung program tingkat kualitas kompetensi aparatur sipil negara asn tingkat kualitas sdm asn anggap krusial wujud layan publik prima birokrasi efisien mendagri tekan penting latih kembang karir bas rit sistem dukung anggar komitmen pemda jadi kunci utama hasil program,2
62,BMKG Ingatkan Potensi Angin Kencang dan Hujan Lebat di Sejumlah Wilayah,"Badan Meteorologi, Klimatologi, dan Geofisika (BMKG) mengeluarkan peringatan dini mengenai potensi cuaca ekstrem berupa angin kencang dan hujan lebat. Potensi cuaca ini diperkirakan terjadi di sejumlah provinsi, termasuk Jawa, Sumatera, dan Kalimantan. BMKG mengimbau masyarakat untuk meningkatkan kewaspadaan terhadap risiko bencana hidrometeorologi seperti banjir dan tanah longsor. Informasi ini penting untuk persiapan mitigasi bencana di daerah rawan.",Bencana & Lingkungan,2025-11-01 00:00:00,BMKG ingatkan potensi angin kencang dan hujan lebat di sejumlah wilayah,badan meteorologi klimatologi geofisika bmkg keluar ingat dini kena potensi cuaca ekstrem upa angin kencang hujan lebat potensi cuaca kira jadi jumlah provinsi masuk jawa sumatera kalimantan bmkg imbau masyarakat tingkat waspada risiko bencana hidrometeorologi banjir tanah longsor informasi penting siap mitigasi bencana daerah rawan,0
63,Indonesia-Australia Teken MoU Kerja Sama Sektor Perikanan,"Indonesia dan Australia menandatangani Nota Kesepahaman (MoU) untuk memperkuat kerja sama di sektor perikanan dan kelautan. Kerja sama ini mencakup peningkatan kapasitas budidaya, pemberantasan illegal fishing, dan pengembangan teknologi perikanan. Penandatanganan MoU diharapkan dapat meningkatkan nilai ekspor produk perikanan Indonesia ke Australia. Langkah ini strategis untuk menjaga keberlanjutan sumber daya laut kedua negara.",Ekonomi & Internasional,2025-11-02 00:00:00,Indonesia-Australia teken MoU kerja sama sektor perikanan,indonesia australia menandatangani nota paham mou kuat kerja sama sektor ikan laut kerja sama cakup tingkat kapasitas budidaya berantas illegal fishing kembang teknologi ikan penandatanganan mou harap tingkat nilai ekspor produk ikan indonesia australia langkah strategis jaga lanjut sumber daya laut dua negara,7
64,KPK Panggil Dirut PT Waskita Karya Terkait Korupsi Pembangunan Tol,Komisi Pemberantasan Korupsi (KPK) memanggil Direktur Utama PT Waskita Karya (Persero) Tbk. sebagai saksi dalam kasus dugaan korupsi proyek pembangunan jalan tol. Pemanggilan ini merupakan bagian dari pendalaman KPK terhadap kerugian negara yang ditimbulkan dari proyek infrastruktur BUMN. KPK berfokus mengusut tuntas dugaan penyalahgunaan wewenang dan mark-up anggaran. Tindakan ini menunjukkan komitmen antikorupsi di sektor konstruksi.,Hukum & Korupsi,31 Oktober 2025,KPK Panggil Dirut Waskita Karya Terkait Korupsi Pembangunan Tol,komisi berantas korupsi kpk panggil direktur utama waskita karya persero tbk saksi kasus duga korupsi proyek bangun jalan tol panggil rupa bagi dalam kpk rugi negara timbul proyek infrastruktur bumn kpk fokus usut tuntas duga penyalahgunaan wewenang mark anggar tindak tunjuk komitmen antikorupsi sektor konstruksi,8
